cluster_size	loss
2	2.0167565306100923
3	1.2237062058529122
4	0.91086082492088949
5	0.72561695413317528
6	0.62303570986916768
7	0.53229043229902517
8	0.46099744767733508
9	0.41794136050175551
10	0.37878432697538533
11	0.34637225540855177
12	0.31982747713997695
13	0.29830662573877703
14	0.27961611809908204
15	0.26511872228888811
16	0.25011389549177315
17	0.23811210458680196
18	0.22386183838158968
19	0.21367771677483485
20	0.20503152410388362
21	0.19557637265336877
22	0.18635223907834589
23	0.1775953676747872
24	0.17196350139626432
25	0.16496192258470752
26	0.15870228625712934
27	0.1489184983205897
28	0.14598578324575967
29	0.14048302139470917
30	0.13388293616590771
31	0.13278738462618872
32	0.12943624083182897
33	0.1231128883566749
34	0.12058667052820771
35	0.1176774667596777
36	0.11410736661170255
37	0.10871765210238028
38	0.10929647217653178
39	0.10427209178116437
40	0.10054109518118104
41	0.099349395148831204
42	0.095745641961281505
43	0.093632026530517887
44	0.091710380991442991
45	0.090047771233253748
46	0.086880713871691384
47	0.085140744608802776
48	0.084237993978721157
49	0.083083194613122829
50	0.080336029583217061
51	0.079342289800379398
52	0.077235179721504135
53	0.075030943808109887
54	0.07298261763820596
55	0.07390786531850195
56	0.07142705030774095
57	0.070679637814907312
58	0.068451004001553017
59	0.068123831777958804
60	0.066233143249426155
61	0.065179945795716371
62	0.064441716728286955
63	0.06306533661517888
64	0.061955555798349451
65	0.061449947206342503
66	0.059892780210988213
67	0.059379540880319173
68	0.058099654312103045
69	0.057020066251289463
70	0.056003399584622818
71	0.055625755711966131
72	0.054643207910349836
73	0.054086178093926039
74	0.053419818065066044
75	0.052007783959802746
76	0.051980862359575254
77	0.051959381625887723
78	0.050678499377498298
79	0.049711875778340818
80	0.049911800625786984
81	0.04838124410711455
82	0.047745139595349879
83	0.0470655761637866
84	0.046319154315937611
85	0.045686811680463825
86	0.045157072732543053
87	0.044361459493369261
88	0.043972106724728947
89	0.043446127038489581
90	0.042946870269265205
91	0.042255869350991557
92	0.041863645581495051
93	0.041493205289463833
94	0.040234728504662275
95	0.040624344604694065
96	0.039563226082034997
97	0.040282176931445229
98	0.040080088187710375
99	0.03892478041704877
100	0.037791465512268543
101	0.037610188084627773
102	0.038249956296084867
103	0.03717811202290211
104	0.036690506525163653
105	0.035404962083906547
106	0.036284615540908671
107	0.035964155585054836
108	0.035745826197459175
109	0.034517978849792838
110	0.03351717877515871
111	0.033608420630999725
112	0.033562760727034527
113	0.033107864571759245
114	0.032669142291855122
115	0.031730446710795501
116	0.031826480368287648
117	0.031827938413460301
118	0.031083734420540455
119	0.030928787327391363
120	0.031411831010214393
121	0.030700386573612196
122	0.030152019276780635
123	0.029673481960532877
124	0.029791577980426212
125	0.028151413595976952
126	0.028619822706722781
127	0.028691007107927855
128	0.028727946429158119
129	0.027869028112129525
130	0.027631068878861038
131	0.028317497600660619
132	0.028134865280873698
133	0.026915384221588838
134	0.026928514765855286
135	0.026898325571621445
136	0.026691972672504175
137	0.026392931342684865
138	0.025322729847450508
139	0.025901139535533028
140	0.025577143505614654
141	0.024949420982126169
142	0.024897670636368042
143	0.024802399576158873
144	0.024157889507368219
145	0.024506744441708566
146	0.02412906146496498
147	0.023741858474264948
148	0.023605325593798854
149	0.023362246030785419
150	0.023285641612883212
151	0.023192312271610709
152	0.022640558866943241
153	0.022662892593179568
154	0.022476428397897062
155	0.021602837033159978
156	0.022108724673231439
157	0.022041605358865436
158	0.021533721702899127
159	0.021689184702903382
160	0.021001059368933685
161	0.020746763359552604
162	0.020596265000778793
163	0.020619061346706942
164	0.020376787400327501
165	0.020671656059086822
166	0.020350528336669574
167	0.019755167955435297
168	0.019816662419160216
169	0.019828781901298078
170	0.019346172347083551
171	0.019252043184765567
172	0.018860936140013697
173	0.018884666510116846
174	0.018802562559462128
175	0.018888914676967076
176	0.018442774275348805
177	0.018413807873855739
178	0.018149033487803598
179	0.018240476039607049
180	0.018008836860307392
181	0.017784937049977072
182	0.017869272111669381
183	0.017433741246374909
184	0.017540734881577039
185	0.017268689601644141
186	0.016757980295652664
187	0.016650584116866068
188	0.016919233232602155
189	0.016408558853140846
190	0.016254836619609383
191	0.016533433359569635
192	0.016390984940984902
193	0.016201370660278599
194	0.016325451091293273
195	0.015867406162860656
196	0.016011404110686328
197	0.015864645734382597
198	0.015100307142352592
199	0.015327124921861732
